"Timestamp","1. Gender","2. What is your age ?","3. Current living District","4. Marital status","5. Highest Education Qualification","6. What is your Employment?","7. What is your monthly income range (If you don’t have a job, select NA)?","8. How often do you use the mobile banking service?","9. How many banking mobile app services you are using (in different banks)?","10. What services do you use in banking mobile app? ","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [24 hour access (anytime can access)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Time savings(no need to go to bank)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Cost savings ]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Ease of use]","12. Do you perceive mobile banking as secure","13. Do you think mobile banking service is cheap or expensive than traditional banking?","14. Please rate your overall satisfaction level of mobile banking service.","15. How do you think mobile banking apps can be improved?","16. Do you recommend banking mobile apps for others?"
"2020/11/03 8:47:11 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Student","Not Applicable","Every 2-3 months","1","Money deposit;Money Transaction;Just to check the account balance/status","3","3","3","3","Somewhat","Cheap","Neutral","Simple user-interfaces;Reduce App loading time;Add more functionalities","Yes"
"2020/11/03 9:10:39 PM GMT+5:30","Male","16-25","Colombo","Single","Degree / Diploma","Student","15,000 - 100,000","Weekly Once","2","Money withdrawal;Money Transaction","4","4","2","3","Somewhat","Cheap","Satisfied","Add more functionalities","Yes"
"2020/11/03 9:16:20 PM GMT+5:30","Male","16-25","Colombo","Single","Degree / Diploma","Semi government ","Less than 15,000","Every 2-3 months","1","Money withdrawal;Just to check the account balance/status","5","5","4","5","Very","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 9:22:39 PM GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Money withdrawal;Paying Bills;Money Transaction","5","5","4","4","Somewhat","Cheap","Satisfied","Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 9:23:48 PM GMT+5:30","Male","16-25","Kegalle","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Money deposit;Money Transaction","5","5","5","5","Somewhat","Expensive","Satisfied","Simple user-interfaces;Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 9:24:26 PM GMT+5:30","Male","16-25","Kalutara","Single","Degree / Diploma","Student","15,000 - 100,000","Weekly several times","2","Paying Bills;Just to check the account balance/status","3","3","3","2","Somewhat","Expensive","Neutral","Simple user-interfaces","Maybe"
"2020/11/03 9:25:38 PM GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Student","Not Applicable","Every 2-3 months","1","Money withdrawal;Money deposit;Paying Bills;Money Transaction","1","3","5","5","Very","Cheap","Neutral","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/03 9:29:36 PM GMT+5:30","Female","16-25","Kalutara","Single","A/L","Student","Less than 15,000","Once a month","1","Just to check the account balance/status","2","4","4","4","Somewhat","Cheap","Satisfied","Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 9:30:12 PM GMT+5:30","Female","25-35","Kalutara","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Money Transaction;Just to check the account balance/status","4","4","4","4","Very","Cheap","Satisfied","Reduce App loading time;Add more functionalities","Yes"
"2020/11/03 9:47:51 PM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Private Sector- Executive","More than 200,000","Weekly several times","3","Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","4","5","3","4","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
